"name","lon","lat"
"100 AM",103.8435656,1.2750063
"313@Somerset",103.838361,1.300898
"Aperia",103.8639058,1.3098281
"Balestier Hill Shopping Centre",103.8432012,1.3259031
"Bugis Cube",103.8556572,1.2981918
"Bugis Junction",103.8555556,1.2988889
"Bugis+",103.8549433,1.3005871
"Capitol Piazza",103.8511619,1.2929876
"Cathay Cineleisure Orchard",103.836414,1.3015948
"Clarke Quay Central",103.8466098,1.2890252
"The Centrepoint",103.839761,1.3021165
"City Square Mall",103.8566675,1.3111877
"City Gate Mall",103.8625132,1.3022509
"CityLink Mall",103.8551998,1.2913085
"Duo",103.8579913,1.2992641
"Far East Plaza",103.8333034,1.3070854
"Funan",103.8500832,1.291321
"Great World City",103.8319293,1.2936417
"HDB Hub",103.8479611,1.3323583
"Holland Village Shopping Mall",103.7954048,1.3104547
"ION Orchard",103.8319512,1.3039288
"Junction 8",103.8487631,1.3506808
"Knightsbridge[1]",103.8361853,1.3030644
"Liang Court",103.8446774,1.2913794
"Liat Towers",103.8305905,1.3051925
"Lucky Plaza",103.8339449,1.3045456
"Marina Bay Sands",103.8607305,1.2838935
"The Shoppes at Marina Bay Sands",103.8591923,1.2837366
"Marina Bay Financial Centre Tower 3",103.8544967,1.2790221
"Marina Bay Link Mall",103.8543391,1.2795303
"Marina One",103.8531473,1.2776331
"Marina Square",103.8576778,1.2911534
"Millenia Walk",103.8598344,1.2928181
"Mustafa Shopping Centre",103.8555583,1.3097877
"Ngee Ann City",103.834568,1.3025572
"Orchard Central",103.8398742,1.3006295
"Orchard Gateway",103.8389111,1.3009584
"Orchard Plaza",103.8321984,1.3048205
"Midpoint Orchard",103.8386083,1.3015694
"Orchard Shopping Centre",103.8378442,1.3015019
"Palais Renaissance",103.829583,1.3067391
"People's Park Centre",103.8440022,1.2857964
"People's Park Complex",103.8425488,1.2841977
"Plaza Singapura",103.8452356,1.3005317
"PoMo",103.8492265,1.3001949
"Raffles City",103.8534331,1.2937585
"Scotts Square",103.8329554,1.3058788
"Serangoon Plaza",103.8552309,1.3108938
"Shaw House and Centre",103.8318472,1.3062932
"Sim Lim Square",103.8529208,1.3030433
"Singapore Shopping Centre",103.8440979,1.2980833
"The South Beach",103.8557929,1.2944688
"Square 2",103.8441474,1.3208322
"Suntec City",103.8583026,1.29503
"Tanglin Mall",103.8238701,1.3050606
"Tangs",103.8329225,1.3047955
"Tanjong Pagar Centre",103.8457765,1.2769938
"Tekka Centre",103.8506541,1.306251
"The Paragon",103.8357982,1.3038699
"Tiong Bahru Plaza",103.8271464,1.2864878
"The Poiz [2]",103.868018,1.3313817
"Thomson Plaza",103.8308,1.3548
"United Square, The Kids Learning Mall",103.8436682,1.3172768
"Velocity",103.8439452,1.3198822
