"name","lon","lat"
"ADMIRALTY PRIMARY SCHOOL",103.8003087,1.4430452
"ADMIRALTY SECONDARY SCHOOL",103.8026082,1.4462673
"AHMAD IBRAHIM PRIMARY SCHOOL",103.8327825,1.4337349
"AHMAD IBRAHIM SECONDARY SCHOOL",103.8299804,1.4364306
"AI TONG SCHOOL",103.8326038,1.3610364
"ALEXANDRA PRIMARY SCHOOL",103.8235297,1.2912968
"ANCHOR GREEN PRIMARY SCHOOL",103.8874074,1.3909254
"ANDERSON PRIMARY SCHOOL",103.8413572,1.3841772
"ANDERSON SECONDARY SCHOOL",103.8513427,1.3750757
"ANDERSON SERANGOON JUNIOR COLLEGE",103.8455069,1.3788363
"ANG MO KIO PRIMARY SCHOOL",103.839815,1.3693469
"ANG MO KIO SECONDARY SCHOOL",103.8426326,1.3672319
"ANGLICAN HIGH SCHOOL",103.9416359,1.3307761
"ANGLO-CHINESE JUNIOR COLLEGE",103.785109,1.3031354
"ANGLO-CHINESE SCHOOL (BARKER ROAD)",103.8360738,1.3195044
"ANGLO-CHINESE SCHOOL (INDEPENDENT)",103.7807147,1.3025841
"ANGLO-CHINESE SCHOOL (JUNIOR)",103.8416385,1.3090345
"ANGLO-CHINESE SCHOOL (PRIMARY)",103.835858,1.3187562
"ANGSANA PRIMARY SCHOOL",103.9516288,1.3489121
"ASSUMPTION ENGLISH SCHOOL",103.7661047,1.3681024
"ASSUMPTION PATHWAY SCHOOL",103.766509,1.3705442
"BARTLEY SECONDARY SCHOOL",103.8828396,1.3402886
"BEACON PRIMARY SCHOOL",103.77377,1.384235
"BEATTY SECONDARY SCHOOL",103.8518807,1.3416799
"BEDOK GREEN PRIMARY SCHOOL",103.937779,1.3238817
"BEDOK GREEN SECONDARY SCHOOL",103.935336,1.3341416
"BEDOK SOUTH SECONDARY SCHOOL",103.9509818,1.3248026
"BEDOK VIEW SECONDARY SCHOOL",103.9438629,1.3246274
"BENDEMEER PRIMARY SCHOOL",103.8650808,1.322193
"BENDEMEER SECONDARY SCHOOL",103.8605913,1.3245163
"BLANGAH RISE PRIMARY SCHOOL",103.8086755,1.2761957
"BOON LAY GARDEN PRIMARY SCHOOL",103.712979,1.3434436
"BOON LAY SECONDARY SCHOOL",103.7018871,1.3433488
"BOWEN SECONDARY SCHOOL",103.877974,1.371165
"BROADRICK SECONDARY SCHOOL",103.8872129,1.3072755
"BUKIT BATOK SECONDARY SCHOOL",103.7401883,1.3484677
"BUKIT MERAH SECONDARY SCHOOL",103.813113,1.2858957
"BUKIT PANJANG GOVT. HIGH SCHOOL",103.7385804,1.3818716
"BUKIT PANJANG PRIMARY SCHOOL",103.7695266,1.3735964
"BUKIT TIMAH PRIMARY SCHOOL",103.766768,1.337385
"BUKIT VIEW PRIMARY SCHOOL",103.75348,1.3459352
"BUKIT VIEW SECONDARY SCHOOL",103.752164,1.3460903
"CANBERRA PRIMARY SCHOOL",103.8155405,1.450997
"CANBERRA SECONDARY SCHOOL",103.8144127,1.4536632
"CANOSSA CATHOLIC PRIMARY SCHOOL",103.8818964,1.3266355
"CANTONMENT PRIMARY SCHOOL",103.8399129,1.2754926
"CASUARINA PRIMARY SCHOOL",103.9570205,1.3725006
"CATHOLIC HIGH SCHOOL",103.8451234,1.3546049
"CATHOLIC JUNIOR COLLEGE",103.8346641,1.3254636
"CEDAR GIRLS' SECONDARY SCHOOL",103.8741655,1.3342746
"CEDAR PRIMARY SCHOOL",103.8754605,1.3356131
"CHANGKAT CHANGI SECONDARY SCHOOL",103.9528325,1.3410275
"CHANGKAT PRIMARY SCHOOL",103.9524481,1.3405395
"CHIJ (KATONG) PRIMARY",103.9109552,1.3064102
"CHIJ (KELLOCK)",103.8279734,1.2749325
"CHIJ KATONG CONVENT",103.9173898,1.3065932
"CHIJ OUR LADY OF GOOD COUNSEL",103.8637879,1.3574239
"CHIJ OUR LADY OF THE NATIVITY",103.897543,1.3735318
"CHIJ OUR LADY QUEEN OF PEACE",103.7675404,1.3666563
"CHIJ PRIMARY (TOA PAYOH)",103.8423106,1.3328881
"CHIJ SECONDARY (TOA PAYOH)",103.8432942,1.332431
"CHIJ ST. JOSEPH'S CONVENT",103.902461,1.391747
"CHIJ ST. THERESA'S CONVENT",103.8218559,1.2754058
"CHONGFU SCHOOL",103.8394566,1.4386472
"CHONGZHENG PRIMARY SCHOOL",103.9512472,1.3508639
"CHRIST CHURCH SECONDARY SCHOOL",103.7934218,1.4263994
"CHUA CHU KANG PRIMARY SCHOOL",103.7423121,1.3778193
"CHUA CHU KANG SECONDARY SCHOOL",103.7515449,1.3834832
"CHUNG CHENG HIGH SCHOOL (MAIN)",103.8915495,1.3054121
"CHUNG CHENG HIGH SCHOOL (YISHUN)",103.837311,1.418737
"CLEMENTI PRIMARY SCHOOL",103.7632831,1.3153018
"CLEMENTI TOWN SECONDARY SCHOOL",103.7622755,1.3154596
"COMMONWEALTH SECONDARY SCHOOL",103.7455955,1.3189509
"COMPASSVALE PRIMARY SCHOOL",103.8979656,1.3947733
"COMPASSVALE SECONDARY SCHOOL",103.899711,1.396086
"CONCORD PRIMARY SCHOOL",103.7363383,1.380347
"CORPORATION PRIMARY SCHOOL",103.7077026,1.3508058
"CRESCENT GIRLS' SCHOOL",103.8168823,1.2940214
"CREST SECONDARY SCHOOL",103.7428629,1.3433166
"DAMAI PRIMARY SCHOOL",103.9211476,1.3356727
"DAMAI SECONDARY SCHOOL",103.9270415,1.3364646
"DAZHONG PRIMARY SCHOOL",103.7480154,1.3593772
"DE LA SALLE SCHOOL",103.7433723,1.3950704
"DEYI SECONDARY SCHOOL",103.8526888,1.366291
"DUNEARN SECONDARY SCHOOL",103.7445869,1.363167
"DUNMAN HIGH SCHOOL",103.8821713,1.2991183
"DUNMAN SECONDARY SCHOOL",103.9559258,1.3610555
"EAST SPRING PRIMARY SCHOOL",103.9617985,1.353454
"EAST SPRING SECONDARY SCHOOL",103.9607517,1.3568208
"EDGEFIELD PRIMARY SCHOOL",103.9076926,1.4004367
"EDGEFIELD SECONDARY SCHOOL",103.9021546,1.4002914
"ELIAS PARK PRIMARY SCHOOL",103.9452385,1.3749538
"ENDEAVOUR PRIMARY SCHOOL",103.8171781,1.4545646
"EUNOIA JUNIOR COLLEGE",103.8394527,1.3626165
"EUNOS PRIMARY SCHOOL",103.9043036,1.3245231
"EVERGREEN PRIMARY SCHOOL",103.795038,1.444082
"EVERGREEN SECONDARY SCHOOL",103.7936114,1.4415383
"FAIRFIELD METHODIST SCHOOL (PRIMARY)",103.7848904,1.3004345
"FAIRFIELD METHODIST SCHOOL (SECONDARY)",103.7844805,1.3017827
"FAJAR SECONDARY SCHOOL",103.7645411,1.3755092
"FARRER PARK PRIMARY SCHOOL",103.850874,1.312316
"FENGSHAN PRIMARY SCHOOL",103.9318271,1.3302242
"FERN GREEN PRIMARY SCHOOL",103.8798637,1.3975315
"FERNVALE PRIMARY SCHOOL",103.873919,1.389948
"FIRST TOA PAYOH PRIMARY SCHOOL",103.855651,1.340145
"FRONTIER PRIMARY SCHOOL",103.6997742,1.336843
"FUCHUN PRIMARY SCHOOL",103.7781651,1.4304356
"FUCHUN SECONDARY SCHOOL",103.7769467,1.4302916
"FUHUA PRIMARY SCHOOL",103.7364909,1.3365456
"FUHUA SECONDARY SCHOOL",103.7265636,1.347278
"GAN ENG SENG PRIMARY SCHOOL",103.8152625,1.2857625
"GAN ENG SENG SCHOOL",103.8237338,1.2893316
"GEYLANG METHODIST SCHOOL (PRIMARY)",103.8838381,1.3182162
"GEYLANG METHODIST SCHOOL (SECONDARY)",103.8822403,1.3174867
"GONGSHANG PRIMARY SCHOOL",103.9491666,1.3571755
"GREENDALE PRIMARY SCHOOL",103.9126762,1.396398
"GREENDALE SECONDARY SCHOOL",103.9118624,1.3974271
"GREENRIDGE PRIMARY SCHOOL",103.7679301,1.3856591
"GREENRIDGE SECONDARY SCHOOL",103.7738085,1.3820599
"GREENWOOD PRIMARY SCHOOL",103.804609,1.43985
"GUANGYANG PRIMARY SCHOOL",103.849315,1.345887
"GUANGYANG SECONDARY SCHOOL",103.850566,1.344693
"HAI SING CATHOLIC SCHOOL",103.9551952,1.3745291
"HAIG GIRLS' SCHOOL",103.9028234,1.3116258
"HENRY PARK PRIMARY SCHOOL",103.7841363,1.3167825
"HILLGROVE SECONDARY SCHOOL",103.7528841,1.3527623
"HOLY INNOCENTS' HIGH SCHOOL",103.896016,1.3711481
"HOLY INNOCENTS' PRIMARY SCHOOL",103.893711,1.366573
"HONG WEN SCHOOL",103.8576625,1.3217339
"HORIZON PRIMARY SCHOOL",103.9131302,1.3998175
"HOUGANG PRIMARY SCHOOL",103.8809088,1.3773882
"HOUGANG SECONDARY SCHOOL",103.8823967,1.3775817
"HUA YI SECONDARY SCHOOL",103.7216378,1.3527239
"HUAMIN PRIMARY SCHOOL",103.8443612,1.427311
"HWA CHONG INSTITUTION",103.8027713,1.3265473
"INNOVA PRIMARY SCHOOL",103.7906603,1.4292475
"JIEMIN PRIMARY SCHOOL",103.830498,1.427671
"JING SHAN PRIMARY SCHOOL",103.8517128,1.3723262
"JUNYUAN PRIMARY SCHOOL",103.9399917,1.3479731
"JUNYUAN SECONDARY SCHOOL",103.9335232,1.3533278
"JURONG PIONEER JUNIOR COLLEGE",103.753951,1.384627
"JURONG PRIMARY SCHOOL",103.732992,1.348679
"JURONG SECONDARY SCHOOL",103.724282,1.330365
"JURONG WEST PRIMARY SCHOOL",103.6988511,1.3390525
"JURONG WEST SECONDARY SCHOOL",103.7016785,1.3358625
"JURONGVILLE SECONDARY SCHOOL",103.7291022,1.3516392
"JUYING PRIMARY SCHOOL",103.6883379,1.3387394
"JUYING SECONDARY SCHOOL",103.6871958,1.3395385
"KEMING PRIMARY SCHOOL",103.7562455,1.3454147
"KENT RIDGE SECONDARY SCHOOL",103.7649426,1.3013766
"KHENG CHENG SCHOOL",103.847796,1.337666
"KONG HWA SCHOOL",103.8881778,1.3110869
"KRANJI PRIMARY SCHOOL",103.747804,1.3936035
"KRANJI SECONDARY SCHOOL",103.7415227,1.3906192
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL",103.8552635,1.3494052
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL",103.8549463,1.349824
"LAKESIDE PRIMARY SCHOOL",103.718147,1.3384626
"LIANHUA PRIMARY SCHOOL",103.7544359,1.3536176
"LOYANG VIEW SECONDARY SCHOOL",103.9568413,1.3668644
"MAHA BODHI SCHOOL",103.9015463,1.3284131
"MANJUSRI SECONDARY SCHOOL",103.9013217,1.3275139
"MARIS STELLA HIGH SCHOOL",103.8782839,1.341737
"MARSILING PRIMARY SCHOOL",103.7733346,1.4341066
"MARSILING SECONDARY SCHOOL",103.7763303,1.4381054
"MARYMOUNT CONVENT SCHOOL",103.8399377,1.3406992
"MAYFLOWER PRIMARY SCHOOL",103.8357985,1.3762339
"MAYFLOWER SECONDARY SCHOOL",103.8352119,1.3686252
"MEE TOH SCHOOL",103.9089333,1.3947729
"MERIDIAN PRIMARY SCHOOL",103.9350488,1.376032
"MERIDIAN SECONDARY SCHOOL",103.9492665,1.3675302
"METHODIST GIRLS' SCHOOL (PRIMARY)",103.7831944,1.3330778
"METHODIST GIRLS' SCHOOL (SECONDARY)",103.7831944,1.3330778
"MILLENNIA INSTITUTE",103.7417384,1.3510437
"MONTFORT JUNIOR SCHOOL",103.889614,1.373864
"MONTFORT SECONDARY SCHOOL",103.888829,1.374084
"NAN CHIAU HIGH SCHOOL",103.8899829,1.3893933
"NAN CHIAU PRIMARY SCHOOL",103.8903328,1.3923982
"NAN HUA HIGH SCHOOL",103.768856,1.3082792
"NAN HUA PRIMARY SCHOOL",103.7619428,1.3197989
"NANYANG GIRLS' HIGH SCHOOL",103.8024603,1.3307195
"NANYANG JUNIOR COLLEGE",103.8666765,1.3514162
"NANYANG PRIMARY SCHOOL",103.8077117,1.3210855
"NATIONAL JUNIOR COLLEGE",103.8045,1.330476
"NAVAL BASE PRIMARY SCHOOL",103.8390841,1.4161125
"NAVAL BASE SECONDARY SCHOOL",103.830682,1.4189335
"NEW TOWN PRIMARY SCHOOL",103.8000744,1.2999918
"NEW TOWN SECONDARY SCHOOL",103.7731811,1.3100184
"NGEE ANN PRIMARY SCHOOL",103.9180054,1.3056219
"NGEE ANN SECONDARY SCHOOL",103.9568201,1.3542893
"NORTH SPRING PRIMARY SCHOOL",103.9036033,1.3872177
"NORTH VIEW PRIMARY SCHOOL",103.848313,1.427616
"NORTH VISTA PRIMARY SCHOOL",103.8958131,1.3829142
"NORTH VISTA SECONDARY SCHOOL",103.8990751,1.38121
"NORTHBROOKS SECONDARY SCHOOL",103.8451567,1.4210901
"NORTHLAND PRIMARY SCHOOL",103.840576,1.421155
"NORTHLAND SECONDARY SCHOOL",103.8401937,1.4358326
"NORTHLIGHT SCHOOL",103.8556591,1.3199646
"NORTHOAKS PRIMARY SCHOOL",103.8137084,1.4569403
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE",103.7693914,1.3071072
"OASIS PRIMARY SCHOOL",103.9109669,1.4047715
"OPERA ESTATE PRIMARY SCHOOL",103.9235753,1.3193914
"ORCHID PARK SECONDARY SCHOOL",103.8380899,1.4156038
"OUTRAM SECONDARY SCHOOL",103.837091,1.286507
"PALM VIEW PRIMARY SCHOOL",103.8907953,1.3839074
"PARK VIEW PRIMARY SCHOOL",103.9395361,1.3775806
"PASIR RIS CREST SECONDARY SCHOOL",103.9594764,1.3728674
"PASIR RIS PRIMARY SCHOOL",103.9629666,1.372403
"PASIR RIS SECONDARY SCHOOL",103.948533,1.354757
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)",103.8848129,1.3510298
"PEI CHUN PUBLIC SCHOOL",103.8558037,1.3371187
