"name","lon","lat"
"Ang Mo Kio Bus Interchange",103.8484982,1.3696079
"Bedok Bus Interchange",103.9312813,1.3239356
"Bishan Bus Interchange",103.848618,1.3503819
"Boon Lay Bus Interchange",103.70546,1.339323
"Bukit Batok Bus Interchange",103.75106,1.349994
"Bukit Merah Bus Interchange",103.817223,1.282102
"Bukit Panjang Bus Interchange",103.7630575,1.3785737
"Choa Chu Kang Bus Interchange",103.745789,1.385869
"Clementi Bus Interchange",103.7644823,1.316358
"Compassvale Bus Interchange",103.8979581,1.3908197
"Eunos Bus Interchange",103.90181,1.319337
"HarbourFront Bus Interchange",103.8197393,1.2638969
"Hougang Central Bus Interchange",103.8926156,1.3711415
"Joo Koon Bus Interchange",103.6784801,1.3256481
"Jurong East Temporary Bus Interchange",103.7425966,1.3358972
"Pasir Ris Bus Interchange",103.947632,1.3728313
"Punggol Temporary Bus Interchange",103.9022848,1.4042505
"Sembawang Bus Interchange",103.8195946,1.4472813
"Sengkang Bus Interchange",103.8961243,1.3923541
"Serangoon Bus Interchange",103.8713031,1.3508033
"Tampines Bus Interchange",103.9435079,1.3542075
"Tampines Concourse Bus Interchange",103.9417899,1.3572999
"Toa Payoh Bus Interchange",103.8474463,1.3322592
"Woodlands Temporary Bus Interchange",103.7859643,1.4373535
"Yio Chu Kang Bus Interchange",103.8455266,1.3811414
"Yishun Bus Interchange",103.8378321,1.4299915
"Buona Vista Bus Terminal",103.7901128,1.3072964
"Changi Airport Bus Terminal",103.98922,1.355093
"Changi Business Park Bus Terminal",103.9670234,1.3418753
"Changi Village Bus Terminal",103.987625,1.389698
"Ghim Moh Bus Terminal",103.789322,1.311067
"Kampong Bahru Bus Terminal",103.8316582,1.2759142
"Kent Ridge Bus Terminal",103.7697872,1.2942003
"Lorong 1 Geylang Bus Terminal",103.8716892,1.3104363
"Marina Centre Bus Terminal",103.8614465,1.2915951
"Queen Street Bus Terminal",103.8567355,1.303537
"Shenton Way Bus Terminal",103.847565,1.274642
"Sims Place Bus Terminal",103.8793543,1.3160709
"St. Michael's Bus Terminal",103.8555095,1.326143
"Tuas Bus Terminal",103.6488433,1.3192753
"Upper East Coast Bus Terminal",103.9525982,1.3182141
