"name","lon","lat"
"Adam Road Food Centre",103.8141876,1.3242264
"Amoy Street Food Centre",103.8467008,1.2794012
"Bedok Food Centre",103.955447,1.32035
"Beo Crescent Market",103.8273668,1.2888084
"Berseh Food Centre",103.8567494,1.3073539
"Bukit Timah Market",103.776049,1.3394069
"Chomp Chomp Food Centre",103.8666004,1.3642285
"Commonwealth Crescent Market",103.800383,1.3069482
"Dunman Food Centre",103.9018286,1.3094266
"East Coast Lagoon Food Village",103.9349594,1.3069299
"Geylang Serai Market",103.8973851,1.3169537
"Golden Mile Food Centre",103.8639264,1.3033328
"Holland Village Market & Food Centre",103.7950362,1.3112134
"Kallang Estate Market",103.8841373,1.3074315
"Market Street Food Centre",103.8488731,1.2816886
"Maxwell Food Centre",103.844767,1.2803361
"Newton Food Centre",103.8393033,1.3119097
"North Bridge Road Market & Food Centre",103.8638889,1.3058333
"Pasir Panjang Food Centre",103.7912521,1.275969
"Serangoon Garden Market",103.8665724,1.363257
"Sembawang Hill Food Centre",103.8290075,1.3722883
"Taman Jurong Market & Food Centre",103.7215616,1.334683
"Tanglin Halt Market",103.7977142,1.300567
"Tiong Bahru Market",103.8323681,1.2848769
"Zion Riverside Food Centre",103.8313247,1.2924787
"ABC Brickworks Market & Food Centre",103.8081551,1.2869047
"Albert Centre Market & Food Centre",103.854245,1.3009004
"Alexandra Village Food Centre",103.8045261,1.286343
"Blk 1 Jalan Kukoh",103.8390942,1.2878135
"Blk 105 Hougang Ave 1",103.8900223,1.3540215
"Blk 11 Telok Blangah Crescent",103.8185179,1.2775461
"Blk 112 Jalan Bukit Merah",103.8260044,1.2800033
"Blk 115 Bukit Merah View",103.8218978,1.2854816
"Blk 117 Aljunied Ave 2",103.8869923,1.3206145
"Blk 127 Toa Payoh Lorong 1",103.8447232,1.338036
"Blk 137 Tampines Street 11",103.9447527,1.345488
"Blk 159 Mei Chin Road",103.8028827,1.2932672
"Blk 16 Bedok South Road",103.9355572,1.320547
"Blk 163 Bukit Merah Central",103.8170072,1.2837537
"Blk 17 Upper Boon Keng Road",103.871846,1.314918
"Blk 20 Ghim Moh Road",103.7883085,1.3109708
"Blk 208B New Upper Changi Road",103.93068,1.324569
"Blk 210 Toa Payoh Lorong 8",103.8541184,1.340111
"Blk 216 Bedok North Street 1",103.9333419,1.3271291
"Blk 22 Toa Payoh Lorong 7",103.8572682,1.3379968
"Blk 226D Ang Mo Kio Ave 1",103.839176,1.366795
"Blk 226H Ang Mo Kio Street 22",103.8400579,1.3672414
"Blk 254 Jurong East Street 24",103.7376889,1.3436236
"Blk 29 Bendemeer Road",103.8630249,1.3193373
"Blk 320 Shunfu Road",103.8373039,1.3518942
"Blk 341 Ang Mo Kio Ave 1",103.8483462,1.3642258
"Blk 347 Jurong East Ave 1",103.7315889,1.3454614
"Blk 353 Clementi Ave 2",103.770821,1.314399
"Blk 36 Telok Blangah Rise",103.821985,1.272617
"Blk 37A Teban Gardens Road",103.742765,1.32087
"Blk 409 Ang Mo Kio Ave 10",103.8554121,1.3627194
"Blk 44 Holland Drive",103.7927381,1.3081723
"Blk 448 Clementi Ave 3",103.76449,1.3133068
"Blk 453A Ang Mo Kio Ave 10",103.8565177,1.3681603
"Blk 49 Sims Place",103.8793293,1.3170535
"Blk 4A Eunos Crescent",103.903711,1.320065
"Blk 4A Jalan Batu",103.8838875,1.3023515
"Blk 4A Woodlands Centre Road",103.7701029,1.441109
"Blk 502 West  Coast Drive",103.759131,1.311936
"Blk 503 West Coast Drive",103.7597956,1.3119108
"Blk 505 Jurong West Street 52",103.7185122,1.3497487
"Blk 50A Marine Terrace",103.9157338,1.3057714
"Blk 51 Old Airport Road",103.8858505,1.308232
"Blk 511 Bedok North Street 3",103.9296899,1.3336776
"Blk 527 Ang Mo Kio Ave 10",103.8543316,1.3727538
"Blk 538 Bedok North Street 3",103.9248665,1.331806
"Blk 58 New Upper Changi Road",103.9415905,1.3245213
"Blk 6 Tanjong Pagar Plaza",103.8431415,1.2766945
"Blk 628 Ang Mo Kio Ave 4",103.8407372,1.380976
"Blk 630 Bedok Reservoir Road",103.914136,1.3330218
"Blk 69 Geylang Bahru",103.8700885,1.3214913
"Blk 7 Empress Road",103.8057946,1.3164558
"Blk 724 Ang Mo Kio Ave 6",103.846562,1.372185
"Blk 726 Clementi West Street 2",103.7642661,1.3037847
"Blk 74 Toa Payoh Lorong 4",103.8519727,1.3344784
"Blk 75 Toa Payoh Lorong 5",103.8530114,1.3359699
"Blk 79 Redhill Lane",103.8182751,1.2878415
"Blk 79 Telok Blangah Drive",103.807598,1.273301
"Blk 80 Circuit Road",103.887077,1.3278701
"Blk 82 Telok Blangah Drive",103.807777,1.273787
"Blk 84 Marine Parade Central",103.9065544,1.3022557
"Blk 85 Bedok North Street 4",103.9393464,1.3312309
"Blk 85 Redhill Lane",103.8182751,1.2874028
"Blk 89 Circuit Road",103.8853684,1.3236522
"Blk 90 Whampoa Drive",103.8550044,1.3230772
"Blk 93 Toa Payoh Lorong 4",103.8496348,1.3385059
"Blks 13/14 Haig Road",103.8955914,1.315096
"Blks 160/162 Ang Mo Kio Ave 4",103.839239,1.374481
"Blks 1A/ 2A/ 3A Commonwealth Drive",103.7971055,1.3010593
"Blks 20/21 Marsiling Lane",103.7770039,1.4439625
