"dist_nearest_bus_terminal","bus_terminals_within_500m","bus_terminals_within_800m","bus_terminals_within_1000m"
1032,0,0,0
1180,0,0,0
1132,0,0,0
1039,0,0,0
1157,0,0,0
618,0,1,1
864,0,0,1
901,0,0,1
864,0,0,1
712,0,1,1
800,0,1,1
1328,0,0,0
1371,0,0,0
961,0,0,1
824,0,0,1
1173,0,0,0
838,0,0,1
617,0,1,1
744,0,1,1
494,1,1,1
423,1,1,1
1548,0,0,0
586,0,1,1
762,0,1,1
570,0,1,1
1416,0,0,0
981,0,0,1
1399,0,0,0
842,0,0,1
1052,0,0,0
421,1,1,1
853,0,0,1
519,0,1,2
1287,0,0,0
1177,0,0,0
581,0,1,1
1049,0,0,0
761,0,1,1
1538,0,0,0
1097,0,0,0
1157,0,0,0
1000,0,0,1
755,0,1,1
536,0,1,1
275,1,1,1
338,1,1,1
626,0,1,1
645,0,1,1
645,0,1,1
1008,0,0,0
479,1,1,1
512,0,1,1
358,1,1,1
550,0,1,1
740,0,1,1
755,0,1,1
1381,0,0,0
953,0,0,1
1287,0,0,0
1099,0,0,0
436,1,1,1
2097,0,0,0
1288,0,0,0
1151,0,0,0
1355,0,0,0
1272,0,0,0
1237,0,0,0
1099,0,0,0
1303,0,0,0
1501,0,0,0
549,0,1,1
582,0,1,1
1146,0,0,0
1146,0,0,0
1229,0,0,0
1612,0,0,0
756,0,1,1
1612,0,0,0
1403,0,0,0
1287,0,0,0
368,1,1,1
589,0,1,1
1612,0,0,0
649,0,1,1
1094,0,0,0
609,0,1,1
756,0,1,1
1325,0,0,0
2189,0,0,0
961,0,0,1
1085,0,0,0
814,0,0,1
481,1,1,1
544,0,1,1
1154,0,0,0
1126,0,0,0
1937,0,0,0
2096,0,0,0
1167,0,0,0
2208,0,0,0
2208,0,0,0
1046,0,0,0
1960,0,0,0
1021,0,0,0
1552,0,0,0
1167,0,0,0
1056,0,0,0
1510,0,0,0
1429,0,0,0
810,0,0,1
1092,0,0,0
1179,0,0,0
382,1,1,1
1672,0,0,0
1006,0,0,0
1607,0,0,0
642,0,1,1
1399,0,0,0
1075,0,0,0
1463,0,0,0
1446,0,0,0
269,1,1,1
1454,0,0,0
831,0,0,1
1454,0,0,0
1655,0,0,0
1279,0,0,0
1729,0,0,0
515,0,1,1
799,0,1,1
799,0,1,1
372,1,1,1
494,1,1,1
754,0,1,1
408,1,1,1
273,1,1,1
494,1,1,1
1247,0,0,0
903,0,0,1
789,0,1,1
494,1,1,1
2108,0,0,0
1908,0,0,0
517,0,1,1
1131,0,0,0
903,0,0,1
820,0,0,1
671,0,1,1
1419,0,0,0
684,0,1,1
816,0,0,1
736,0,1,1
567,0,1,1
386,1,1,1
536,0,1,1
607,0,1,1
591,0,1,1
335,1,1,1
1381,0,0,0
536,0,1,1
273,1,1,1
659,0,1,1
1190,0,0,0
826,0,0,1
892,0,0,1
1225,0,0,0
545,0,1,1
1037,0,0,0
1190,0,0,0
980,0,0,1
750,0,1,1
791,0,1,1
567,0,1,1
1133,0,0,0
694,0,1,1
618,0,1,1
943,0,0,1
1809,0,0,0
131,1,1,1
755,0,1,1
473,1,1,1
514,0,1,1
1559,0,0,0
1771,0,0,0
756,0,1,1
412,1,1,1
448,1,1,1
1763,0,0,0
337,1,1,1
860,0,0,1
228,1,1,1
970,0,0,1
875,0,0,1
391,1,1,1
1216,0,0,0
1282,0,0,0
1258,0,0,0
1427,0,0,0
1303,0,0,0
768,0,1,1
1337,0,0,0
1043,0,0,0
1018,0,0,0
419,1,1,1
611,0,1,1
1356,0,0,0
1065,0,0,0
419,1,1,1
915,0,0,1
591,0,1,1
611,0,1,1
1289,0,0,0
1438,0,0,0
1528,0,0,0
1063,0,0,0
841,0,0,1
1527,0,0,0
1464,0,0,0
912,0,0,1
912,0,0,1
919,0,0,1
1506,0,0,0
1071,0,0,0
778,0,1,1
986,0,0,1
528,0,1,1
757,0,1,1
658,0,1,1
738,0,1,1
1110,0,0,0
1110,0,0,0
1547,0,0,0
544,0,1,1
1507,0,0,0
1507,0,0,0
1507,0,0,0
814,0,0,1
693,0,1,1
695,0,1,1
814,0,0,1
814,0,0,1
1534,0,0,0
1507,0,0,0
986,0,0,1
738,0,1,1
902,0,0,1
1126,0,0,0
745,0,1,1
1181,0,0,0
1634,0,0,0
1678,0,0,0
1373,0,0,0
853,0,0,1
1253,0,0,0
1375,0,0,0
1092,0,0,0
824,0,0,1
590,0,1,1
941,0,0,1
798,0,1,1
855,0,0,1
796,0,1,1
1438,0,0,0
1471,0,0,0
845,0,0,1
1471,0,0,0
483,1,1,1
1067,0,0,0
1236,0,0,0
1259,0,0,0
1122,0,0,0
985,0,0,1
