"dist_nearest_mall","malls_within_3km","malls_within_5km"
1029,9,24
900,6,15
1529,5,11
900,10,22
1573,5,11
696,7,16
868,10,22
891,7,20
868,10,22
719,9,21
734,8,20
1139,6,15
1200,6,15
888,7,17
737,8,19
959,6,16
844,9,21
1255,4,13
745,10,22
1252,4,13
301,7,20
1273,6,13
590,10,22
570,7,18
578,8,21
1181,6,14
975,8,25
1126,6,13
836,8,24
1060,9,21
410,7,20
861,9,21
302,7,19
817,10,23
1003,10,24
1096,5,13
1043,9,21
479,7,18
1274,6,14
954,10,23
1573,5,11
926,10,22
745,7,20
525,7,19
848,6,15
328,7,20
635,8,20
654,8,20
654,8,20
750,7,17
485,9,22
389,7,19
54,7,18
560,8,20
730,7,21
1037,5,13
982,10,16
631,5,22
639,10,16
780,7,22
611,4,22
2201,7,27
951,4,22
835,4,22
1978,14,27
973,9,23
913,5,22
780,7,22
597,10,15
2065,11,27
730,4,22
286,4,22
994,6,16
994,6,16
1114,10,19
1287,5,24
452,4,22
1287,5,24
994,7,22
639,10,16
543,4,22
239,4,22
1287,5,24
347,5,22
884,10,18
286,4,22
452,4,22
1000,5,22
2106,5,26
1151,6,17
1277,6,17
1006,5,19
673,5,22
735,5,21
739,10,17
795,9,16
1957,8,27
2153,7,27
724,10,17
2055,5,26
2055,5,26
862,10,17
1638,4,26
719,8,22
1865,12,27
724,10,17
858,9,23
1190,7,23
1239,10,17
495,4,22
873,9,16
1785,15,24
530,5,22
1800,11,25
598,5,22
2151,9,27
384,8,22
1237,9,18
641,8,22
1184,9,24
1156,9,24
430,5,22
1795,9,27
1398,6,15
1795,9,27
458,10,13
995,9,19
1030,6,15
552,15,42
795,14,29
795,14,29
407,14,34
489,14,26
747,14,28
443,14,35
305,13,30
489,14,26
1229,7,20
888,9,20
757,10,22
480,14,27
405,6,16
908,6,15
542,15,34
1019,10,26
888,9,20
794,10,21
690,13,37
1391,10,26
714,13,28
607,8,27
764,14,28
595,13,28
511,10,26
718,11,27
810,11,26
387,9,27
460,10,26
1386,10,26
718,11,27
467,10,27
868,11,27
995,7,26
631,8,27
1100,11,26
1233,11,26
716,11,27
853,7,24
995,7,26
1189,11,26
548,10,27
748,13,27
595,13,28
1311,11,26
902,11,27
827,11,27
1110,11,26
1379,12,25
302,10,27
574,8,27
297,8,27
509,10,28
1293,12,26
1338,12,25
619,8,25
370,8,27
463,10,27
1319,12,25
334,10,27
690,9,25
151,8,27
1115,11,27
666,8,27
200,8,27
1402,11,26
625,51,71
533,51,71
914,7,41
201,41,72
1213,12,62
525,51,71
967,12,58
1101,12,60
1053,26,64
706,41,67
176,42,72
1045,7,46
1053,26,64
1177,8,47
635,37,69
706,41,67
1066,7,45
268,43,72
533,39,72
1174,7,46
375,39,69
136,8,42
627,7,40
461,44,69
461,44,69
504,45,69
389,44,72
772,37,71
1300,12,62
632,38,71
1232,15,62
1050,14,59
620,42,67
974,8,48
509,12,49
509,12,49
555,39,72
849,37,66
554,7,40
554,7,40
554,7,40
