town,#rooms,storey_range_processed,floor_area_sqm,flat_model,remaining_lease
ANG MO KIO,2,4,44,Improved,61
ANG MO KIO,3,1,67,New Generation,60
ANG MO KIO,3,1,67,New Generation,62
ANG MO KIO,3,2,68,New Generation,62
ANG MO KIO,3,1,67,New Generation,62
ANG MO KIO,3,1,68,New Generation,63
ANG MO KIO,3,2,68,New Generation,61
ANG MO KIO,3,2,67,New Generation,58
ANG MO KIO,3,2,68,New Generation,61
ANG MO KIO,3,1,67,New Generation,61
ANG MO KIO,3,1,68,New Generation,62
ANG MO KIO,3,4,67,New Generation,59
ANG MO KIO,3,2,67,New Generation,59
ANG MO KIO,3,3,67,New Generation,59
ANG MO KIO,3,3,68,New Generation,62
ANG MO KIO,3,2,67,New Generation,60
ANG MO KIO,3,4,67,New Generation,61
ANG MO KIO,3,2,68,New Generation,62
ANG MO KIO,3,3,67,New Generation,61
ANG MO KIO,3,2,68,New Generation,62
ANG MO KIO,3,3,67,New Generation,60
ANG MO KIO,3,2,73,New Generation,59
ANG MO KIO,3,4,67,New Generation,61
ANG MO KIO,3,1,67,New Generation,59
ANG MO KIO,3,2,67,New Generation,61
ANG MO KIO,3,3,74,New Generation,60
ANG MO KIO,3,3,68,New Generation,63
ANG MO KIO,3,4,73,New Generation,59
ANG MO KIO,3,3,68,New Generation,63
ANG MO KIO,3,4,82,New Generation,62
ANG MO KIO,3,4,73,New Generation,60
ANG MO KIO,3,3,82,New Generation,62
ANG MO KIO,3,1,81,New Generation,62
ANG MO KIO,4,4,92,New Generation,61
ANG MO KIO,4,3,91,New Generation,61
ANG MO KIO,4,1,94,New Generation,63
ANG MO KIO,4,1,92,New Generation,63
ANG MO KIO,4,1,98,New Generation,61
ANG MO KIO,4,2,97,New Generation,59
ANG MO KIO,4,2,92,New Generation,61
ANG MO KIO,4,2,91,New Generation,62
ANG MO KIO,4,2,92,New Generation,62
ANG MO KIO,4,2,97,New Generation,58
ANG MO KIO,4,4,97,New Generation,59
ANG MO KIO,4,4,99,New Generation,62
ANG MO KIO,4,4,98,New Generation,60
ANG MO KIO,4,5,90,DBSS,93
ANG MO KIO,4,7,91,DBSS,93
ANG MO KIO,4,8,91,DBSS,93
ANG MO KIO,5,1,117,Standard,60
ANG MO KIO,5,5,119,Improved,61
ANG MO KIO,5,7,118,Improved,62
ANG MO KIO,5,5,119,Improved,62
ANG MO KIO,5,4,112,DBSS,93
ANG MO KIO,5,4,121,Improved,94
ANG MO KIO,6,3,147,Apartment,78
BEDOK,2,2,45,Improved,60
BEDOK,3,2,68,New Generation,62
BEDOK,3,3,59,Improved,60
BEDOK,3,1,68,New Generation,62
BEDOK,3,1,59,Improved,58
BEDOK,3,2,63,Simplified,70
BEDOK,3,2,68,New Generation,63
BEDOK,3,2,68,New Generation,63
BEDOK,3,4,70,New Generation,67
BEDOK,3,5,68,New Generation,61
BEDOK,3,4,60,Improved,68
BEDOK,3,2,68,New Generation,62
BEDOK,3,4,60,Improved,68
BEDOK,3,4,67,New Generation,68
BEDOK,3,5,65,Improved,58
BEDOK,3,3,65,Improved,56
BEDOK,3,5,60,Improved,67
BEDOK,3,3,60,Improved,67
BEDOK,3,2,67,New Generation,59
BEDOK,3,3,68,New Generation,63
BEDOK,3,1,67,New Generation,67
BEDOK,3,3,68,New Generation,63
BEDOK,3,2,75,Model A,66
BEDOK,3,3,70,Improved,60
BEDOK,3,4,65,Improved,58
BEDOK,3,2,66,Improved,65
BEDOK,3,3,68,New Generation,63
BEDOK,3,4,67,New Generation,61
BEDOK,3,2,73,New Generation,60
BEDOK,3,4,82,New Generation,61
BEDOK,3,1,82,New Generation,67
BEDOK,3,2,82,New Generation,62
BEDOK,4,2,84,Simplified,69
BEDOK,4,5,90,Improved,59
BEDOK,4,2,84,Improved,59
BEDOK,4,4,90,Improved,59
BEDOK,4,2,82,Improved,58
BEDOK,4,5,82,Improved,58
BEDOK,4,1,91,New Generation,60
BEDOK,4,2,91,New Generation,60
BEDOK,4,3,84,Simplified,69
BEDOK,4,5,84,Simplified,69
BEDOK,4,1,91,New Generation,60
BEDOK,4,3,84,Simplified,68
BEDOK,4,3,84,Simplified,68
BEDOK,4,3,92,New Generation,60
BEDOK,4,1,91,New Generation,62
BEDOK,4,2,93,New Generation,62
BEDOK,4,3,98,New Generation,64
BEDOK,4,5,91,New Generation,60
BEDOK,4,4,92,New Generation,60
BEDOK,4,2,104,Model A,66
BEDOK,4,2,105,Premium Apartment,83
BEDOK,4,5,90,Model A,83
BEDOK,4,3,92,Model A,87
BEDOK,4,2,104,Model A,71
BEDOK,4,4,97,Model A,92
BEDOK,5,1,120,Improved,64
BEDOK,5,3,130,Adjoined flat,54
BEDOK,5,2,132,Model A,78
BEDOK,5,6,119,Improved,60
BEDOK,5,6,115,Premium Apartment,82
BEDOK,5,5,122,Improved,75
BEDOK,5,2,137,Model A-Maisonette,66
BEDOK,5,1,139,Model A-Maisonette,66
BEDOK,5,5,112,Improved,92
BEDOK,6,2,143,Apartment,75
BEDOK,6,1,146,Maisonette,68
BEDOK,6,4,145,Apartment,75
BEDOK,6,4,141,Apartment,75
BISHAN,3,4,68,Improved,55
BISHAN,3,4,64,Simplified,68
BISHAN,3,2,64,Simplified,67
BISHAN,4,2,84,Simplified,70
BISHAN,4,2,84,Simplified,70
BISHAN,4,2,84,Simplified,68
BISHAN,4,2,83,Simplified,69
BISHAN,4,1,84,Simplified,69
BISHAN,4,3,84,Simplified,67
BISHAN,4,3,84,Simplified,68
BISHAN,4,1,83,Simplified,69
BISHAN,4,5,108,Model A,74
BISHAN,4,12,95,DBSS,93
BISHAN,5,2,139,Model A,74
BISHAN,5,1,121,Improved,69
BISHAN,5,3,123,Improved,72
BISHAN,5,8,120,Improved,68
BISHAN,5,3,121,Improved,69
BISHAN,5,3,121,Improved,67
BISHAN,5,2,120,DBSS,93
BISHAN,6,2,146,Maisonette,74
BISHAN,6,2,143,Maisonette,68
BUKIT BATOK,3,1,64,Simplified,69
BUKIT BATOK,3,2,64,Simplified,69
BUKIT BATOK,3,2,68,New Generation,66
BUKIT BATOK,3,4,60,Improved,69
BUKIT BATOK,3,1,73,Model A,69
BUKIT BATOK,3,2,67,New Generation,66
